idea/NN/dobj	7263
hope/NN/dobj	6166
position/NN/dobj	4043
life/NN/dobj	3851
cause/NN/dobj	3583
policy/NN/dobj	3351
in/IN/prep favor/NN/pobj	3254
system/NN/dobj	2809
attempt/NN/dobj	2801
plan/NN/dobj	2554
standard/NN/dobj	2227
project/NN/dobj	2100
use/NN/dobj	2030
thought/NN/dobj	2021
in/IN/prep favour/NN/pobj	1898
part/NN/dobj	1863
principle/NN/dobj	1815
ground/NN/dobj	1725
city/NN/dobj	1571
practice/NN/dobj	1548
method/NN/dobj	1528
pursuit/NN/dobj	1480
country/NN/dobj	1447
siege/NN/dobj	1351
theory/NN/dobj	1260
line/NN/dobj	1260
form/NN/dobj	1259
right/NN/dobj	1251
claim/NN/dobj	1248
from/IN/prep dislike/NN/pobj	1198
design/NN/dobj	1181
effort/NN/dobj	1172
faith/NN/dobj	1160
place/NN/dobj	1144
post/NN/dobj	1126
search/NN/dobj	1121
work/NN/dobj	1119
career/NN/dobj	1101
for/IN/prep sake/NN/pobj	1072
on/IN/prep account/NN/pobj	1027
attitude/NN/dobj	1018
doctrine/NN/dobj	1010
notion/NN/dobj	1005
party/NN/dobj	996
to/TO/prep fate/NN/pobj	988
task/NN/dobj	981
field/NN/dobj	974
belief/NN/dobj	959
alliance/NN/dobj	953
nature/NN/dobj	932
intention/NN/dobj	923
don/NN/dobj	914
struggle/NN/dobj	901
man/NN/dobj	895
for/IN/prep years/NNS/pobj	885
to/TO/prep excesses/NNS/pobj	859
path/NN/dobj	824
by/IN/prep sense/NN/pobj	811
service/NN/dobj	806
course/NN/dobj	806
home/NN/dobj	805
at/IN/prep moment/NN/pobj	799
business/NN/dobj	793
cultivation/NN/dobj	790
society/NN/dobj	789
enterprise/NN/dobj	783
to/TO/prep pleasures/NNS/pobj	772
to/TO/prep guidance/NN/pobj	765
to/TO/prep frenzy/NN/pobj	760
domicile/NN/dobj	756
house/NN/dobj	756
style/NN/dobj	747
for/IN/prep one/CD/pobj	740
wife/NN/dobj	740
habit/NN/dobj	738
in/IN/prep hour/NN/pobj	735
profession/NN/dobj	728
at/IN/prep time/NN/pobj	728
to/TO/prep mercies/NNS/pobj	727
study/NN/dobj	715
point/NN/dobj	713
to/TO/prep care/NN/pobj	710
purpose/NN/dobj	704
fortress/NN/dobj	703
body/NN/dobj	688
scheme/NN/dobj	687
religion/NN/dobj	684
at/IN/prep once/RB/dep	663
everything/NN/dobj	652
to/TO/prep mercy/NN/pobj	640
to/TO/prep reflections/NNS/pobj	638
to/TO/prep pleasure/NN/pobj	631
world/NN/dobj	627
portion/NN/dobj	623
to/TO/prep crowd/NN/pobj	621
as/IN/prep defensible/JJ/pobj	619
duty/NN/dobj	616
road/NN/dobj	611
wealth/NN/dobj	608
